body,votes,tags,link,title
"<div class=""post-text"" itemprop=""text"">

<p>What is the most efficient way to clone a JavaScript object? I've seen <code>obj = eval(uneval(o));</code> being used, but that's currently Firefox-only. In Mootools 1.2, I've done things like <code>obj = JSON.parse(JSON.stringify(o));</code> but question the efficiency.</p>

<p>I've also seen recursive copying functions with various flaws. I'm surprised no canonical solution exists.</p>
    </div>",2702,"javascript,object,clone",http://stackoverflow.com/questions/122102/what-is-the-most-efficient-way-to-clone-an-object,What is the most efficient way to clone an object?
"<div class=""post-text"" itemprop=""text"">

<p>The following are two methods of building a link that has the sole purpose of running JavaScript code. Which is better, in terms of functionality, page load speed, validation purposes, etc.?</p>

<p></p><div class=""snippet"" data-lang=""js"" data-hide=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>function myJsFunc() {
    alert(""myJsFunc"");
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;a href=""#"" onclick=""myJsFunc();""&gt;Run JavaScript Code&lt;/a&gt;</code></pre>
</div>
</div>


<p>or</p>

<p></p><div class=""snippet"" data-lang=""js"" data-hide=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>function myJsFunc() {
    alert(""myJsFunc"");
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code> &lt;a href=""javascript:void(0)"" onclick=""myJsFunc();""&gt;Run JavaScript Code&lt;/a&gt;</code></pre>
</div>
</div>

    </div>",2683,"javascript,html,performance,optimization,href",http://stackoverflow.com/questions/134845/href-attribute-for-javascript-links-or-javascriptvoid0,Href attribute for JavaScript links: “#” or “javascript:void(0)”?
"<div class=""post-text"" itemprop=""text"">

<p>What is the maximum length of a URL in different browsers? Does it differ between browsers? </p>

<p>Does the HTTP protocol dictate it?</p>
    </div>",2757,"http,url,browser,max,content-length",http://stackoverflow.com/questions/417142/what-is-the-maximum-length-of-a-url-in-different-browsers,What is the maximum length of a URL in different browsers?
"<div class=""post-text"" itemprop=""text"">

<p>Is there a plugin-less way of retrieving <a href=""http://en.wikipedia.org/wiki/Query_string"">query string</a> values via jQuery (or without)? </p>

<p>If so, how? If not, is there a plugin which can do so?</p>
    </div>",2706,"javascript,url,plugins,query-string",http://stackoverflow.com/questions/901115/how-can-i-get-query-string-values-in-javascript,How can I get query string values in JavaScript?
"<div class=""post-text"" itemprop=""text"">

<p>According to the HTTP/1.1 Spec: </p>

<blockquote>
  <p>The <strong><code>POST</code></strong> method is used to request that the origin server accept the entity enclosed in the request as a new subordinate of the resource identified by the <code>Request-URI</code> in the <code>Request-Line</code></p>
</blockquote>

<p>In other words, <code>POST</code> is used to <strong>create</strong>.</p>

<blockquote>
  <p>The <strong><code>PUT</code></strong> method requests that the enclosed entity be stored under the supplied <code>Request-URI</code>. If the <code>Request-URI</code> refers to an already existing resource, the enclosed entity SHOULD be considered as a modified version of the one residing on the origin server. If the <code>Request-URI</code> does not point to an existing resource, and that URI is capable of being defined as a new resource by the requesting user agent, the origin server can create the resource with that URI.""</p>
</blockquote>

<p>That is, <code>PUT</code> is used to <strong>create or update</strong>.</p>

<p>So, which one should be used to create a resource? Or one needs to support both?</p>
    </div>",2710,"http,rest,post,put",http://stackoverflow.com/questions/630453/put-vs-post-in-rest,PUT vs POST in REST
"<div class=""post-text"" itemprop=""text"">

<p>What are metaclasses? What do you use them for?</p>
    </div>",2760,"python,oop,metaclass,python-datamodel",http://stackoverflow.com/questions/100003/what-is-a-metaclass-in-python,What is a metaclass in Python?
"<div class=""post-text"" itemprop=""text"">

<p>I am trying to checkout a remote branch:</p>

<p>Somebody pushed a branch called <code>test</code> with <code>git push origin test</code> to a shared repository. I can see the branch with <code>git branch -r</code>. But how can I get this branch?</p>

<ul>
<li><p><code>git checkout test</code> does nothing</p></li>
<li><p><code>git checkout origin/test</code> does something, but <code>git branch</code> says <code>* (no branch)</code>. I am on no branch?</p></li>
</ul>

<p>How do I share branches via a public repository?</p>
    </div>",2768,"git,git-checkout,remote-branch",http://stackoverflow.com/questions/1783405/checkout-remote-git-branch,Checkout remote Git branch
"<div class=""post-text"" itemprop=""text"">

<p>Is there a good way to explain how to resolve merge conflicts in Git?</p>
    </div>",2872,"git,git-merge,merge-conflict-resolution,git-conflict-resolution",http://stackoverflow.com/questions/161813/fix-merge-conflicts-in-git,Fix merge conflicts in Git?
"<div class=""post-text"" itemprop=""text"">

<p>For anchors that act like buttons (for example, <em>Questions</em>, <em>Tags</em>, <em>Users</em>, etc. at the top of the Stack Overflow page) or tabs, is there a CSS standard way to disable the highlighting effect if the user accidentally selects the text?</p>

<p>I realize this could be done with JavaScript, and a little googling yielded the Mozilla-only <code>-moz-user-select</code> option.</p>

<p>Is there a standard-compliant way to accomplish this with CSS, and if not, what is the ""best practice"" approach?</p>
    </div>",2862,"css,cross-browser,highlighting,textselection",http://stackoverflow.com/questions/826782/css-rule-to-disable-text-selection-highlighting,CSS rule to disable text selection highlighting
"<div class=""post-text"" itemprop=""text"">

<p>If user input is inserted without modification into an SQL query, then the application becomes vulnerable to <a href=""http://stackoverflow.com/a/332367/"">SQL injection</a>, like in the following example:</p>

<pre class=""lang-php prettyprint-override""><code>$unsafe_variable = $_POST['user_input']; 

mysql_query(""INSERT INTO `table` (`column`) VALUES ('$unsafe_variable')"");
</code></pre>

<p>That's because the user can input something like <code>value'); DROP TABLE table;--</code>, and the query becomes:</p>

<pre><code>INSERT INTO `table` (`column`) VALUES('value'); DROP TABLE table;--')
</code></pre>

<p>What can be done to prevent this from happening?</p>
    </div>",2788,"php,mysql,sql,security,sql-injection",http://stackoverflow.com/questions/60174/how-can-i-prevent-sql-injection-in-php,How can I prevent SQL-injection in PHP?
"<div class=""post-text"" itemprop=""text"">

<p>Until today I thought that for example:</p>

<pre><code>i += j;
</code></pre>

<p>is just a shortcut for:</p>

<pre><code>i = i + j;
</code></pre>

<p>But what if we try this:</p>

<pre><code>int i = 5;
long j = 8;
</code></pre>

<p>Then <code>i = i + j;</code> will not compile but <code>i += j;</code> will compile fine.</p>

<p>Does it mean that in fact <code>i += j;</code> is a shortcut for something like this
<code>i = (type of i) (i + j)</code>?</p>
    </div>",2524,"java,casting,operators,variable-assignment,assignment-operator",http://stackoverflow.com/questions/8710619/java-operators,"Java +=, -=, *=, /= operators"
"<div class=""post-text"" itemprop=""text"">

<p>Can I use comments inside a JSON file? If so, how?</p>
    </div>",3139,json,http://stackoverflow.com/questions/244777/can-i-use-comments-inside-a-json-file,Can I use comments inside a JSON file?
"<div class=""post-text"" itemprop=""text"">

<p>How do I revert from my current state to a snapshot made on a certain commit? </p>

<p>If I do <code>git log</code>, I get the following output:</p>

<pre><code>$ git log
commit a867b4af366350be2e7c21b8de9cc6504678a61b`
Author: Me &lt;me@me.com&gt;
Date:   Thu Nov 4 18:59:41 2010 -0400

blah blah blah...

commit 25eee4caef46ae64aa08e8ab3f988bc917ee1ce4
Author: Me &lt;me@me.com&gt;
Date:   Thu Nov 4 05:13:39 2010 -0400

more blah blah blah...

commit 0766c053c0ea2035e90f504928f8df3c9363b8bd
Author: Me &lt;me@me.com&gt;
Date:   Thu Nov 4 00:55:06 2010 -0400

And yet more blah blah...

commit 0d1d7fc32e5a947fbd92ee598033d85bfc445a50
Author: Me &lt;me@me.com&gt;
Date:   Wed Nov 3 23:56:08 2010 -0400

Yep, more blah blah.
</code></pre>

<p>How do revert to the commit from November 3, i.e. commit <code>0d1d7fc</code>?</p>
    </div>",3220,"git,git-reset,git-revert",http://stackoverflow.com/questions/4114095/revert-git-repo-to-a-previous-commit,Revert Git repo to a previous commit
"<div class=""post-text"" itemprop=""text"">

<p>I always thought Java was <strong>pass-by-reference</strong>; however I've seen a couple of blog posts (for example, <a href=""http://javadude.com/articles/passbyvalue.htm"">this blog</a>) that claim it's not. I don't think I understand the distinction they're making. </p>

<p>What is the explanation?</p>
    </div>",3010,"java,parameter-passing,terminology,pass-by-reference,pass-by-value",http://stackoverflow.com/questions/40480/is-java-pass-by-reference-or-pass-by-value,Is Java “pass-by-reference” or “pass-by-value”?
"<div class=""post-text"" itemprop=""text"">

<p>In C#, what is the difference between <code>String</code> and <code>string</code>? (<em>note the case</em>)</p>

<p>Example:</p>

<pre><code>string s = ""Hello world!"";
String S = ""Hello world!"";
</code></pre>

<p>What are the guidelines for the use of each? And what are the differences?</p>
    </div>",3264,"c#,string",http://stackoverflow.com/questions/7074/whats-the-difference-between-string-and-string,What's the difference between String and string?
"<div class=""post-text"" itemprop=""text"">

<p>What is the difference between:</p>

<ul>
<li><code>px</code></li>
<li><code>dip</code></li>
<li><code>dp</code></li>
<li><code>sp</code></li>
</ul>

<p>on Android?</p>
    </div>",3289,"android,android-layout,user-interface,units-of-measurement",http://stackoverflow.com/questions/2025282/difference-between-px-dp-dip-and-sp-on-android,"Difference between px, dp, dip and sp on Android?"
"<div class=""post-text"" itemprop=""text"">

<p>How do you delete untracked local files from your current branch?</p>
    </div>",3305,"git,branch,git-branch",http://stackoverflow.com/questions/61212/how-do-i-remove-local-untracked-files-from-my-current-git-branch,How do I remove local (untracked) files from my current Git branch?
"<div class=""post-text"" itemprop=""text"">

<p>We have an employee whose last name is Null. Our employee lookup application is killed when that last name is used as the search term (which happens to be quite often now). The error received (thanks Fiddler!) is:</p>

<pre><code>  &lt;soapenv:Fault&gt;
   &lt;faultcode&gt;soapenv:Server.userException&lt;/faultcode&gt;
   &lt;faultstring&gt;coldfusion.xml.rpc.CFCInvocationException: [coldfusion.runtime.MissingArgumentException : The SEARCHSTRING parameter to the getFacultyNames function is required but was not passed in.]&lt;/faultstring&gt;
</code></pre>

<p>Cute, huh?</p>

<p>The parameter type is <code>string</code>.</p>

<p>I am using:</p>

<ul>
<li>WSDL (SOAP).</li>
<li>Flex 3.5</li>
<li>ActionScript 3</li>
<li>ColdFusion 8</li>
</ul>

<p>Note that the error DOES NOT occur when calling the webservice as an object from a ColdFusion page.</p>
    </div>",3731,"flex,actionscript,soap,coldfusion,wsdl",http://stackoverflow.com/questions/4456438/how-do-i-correctly-pass-the-string-null-an-employees-proper-surname-to-a-so,How do I correctly pass the string “Null” (an employee's proper surname) to a SOAP web service from ActionScript 3?
"<div class=""post-text"" itemprop=""text"">

<p>How come certain random strings produce various colors when entered as background colors in HTML? For example:</p>

<p></p><div class=""snippet"" data-lang=""js"" data-hide=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;body bgcolor=""chucknorris""&gt; test &lt;/body&gt;</code></pre>
</div>
</div>


<p>...produces a document with a <strong>red background</strong> across all browsers and platforms.</p>

<p>Interestingly, while <code>chucknorri</code> produces a red background as well, <code>chucknorr</code> produces a yellow background.</p>

<p>What's going on here?</p>
    </div>",3762,"html,background-color",http://stackoverflow.com/questions/8318911/why-does-html-think-chucknorris-is-a-color,Why does HTML think “chucknorris” is a color?
"<div class=""post-text"" itemprop=""text"">

<p>What is a plain English explanation of Big O notation? I'd prefer as little formal definition as possible and simple mathematics.</p>
    </div>",3302,"algorithm,complexity-theory,computer-science,big-o,time-complexity",http://stackoverflow.com/questions/487258/plain-english-explanation-of-big-o,Plain English explanation of Big O
"<div class=""post-text"" itemprop=""text"">

<p>I do not want to rename a remote branch, as described in <em><a href=""http://stackoverflow.com/questions/1526794/rename-master-branch-for-both-local-and-remote-git-repositories?answertab=votes#tab-top"">Rename master branch for both local and remote Git repositories</a></em>.</p>

<p>Instead, I want to use the simplest way to rename a local branch, which is not pushed to a remote branch.</p>
    </div>",3583,"git,git-branch",http://stackoverflow.com/questions/6591213/how-do-i-rename-the-local-branch,How do I rename the local branch?
"<div class=""post-text"" itemprop=""text"">

<h2>Form-based authentication for websites</h2>

<p>We believe that Stack Overflow should not just be a resource for very specific technical questions, but also for general guidelines on how to solve variations on common problems. ""Form based authentication for websites"" should be a fine topic for such an experiment.</p>

<h3>It should include topics such as:</h3>

<ul>
<li>How to log in</li>
<li>How to remain logged in</li>
<li>How to store passwords</li>
<li>Using secret questions</li>
<li>Forgotten username/password functionality</li>
<li><a href=""http://openid.net/"">OpenID</a></li>
<li>""Remember me"" checkbox</li>
<li>Browser autocompletion of usernames and passwords</li>
<li>Secret URLs (public <a href=""https://en.wikipedia.org/wiki/Uniform_Resource_Locator"">URL</a> protected by digest)</li>
<li>Checking password strength</li>
<li>E-mail validation</li>
<li>and much more about <a href=""http://en.wikipedia.org/wiki/Form-based_authentication"">form based authentication</a> ...</li>
</ul>

<h3>It should not include things like:</h3>

<ul>
<li>roles and authorization</li>
<li>HTTP basic authentication</li>
</ul>

<h3>Please help us by</h3>

<ol>
<li>Suggesting subtopics</li>
<li>Submitting good articles about this subject</li>
<li>Editing the official answer</li>
</ol>
    </div>",3744,"security,http,authentication,language-agnostic,article",http://stackoverflow.com/questions/549/the-definitive-guide-to-form-based-website-authentication,The definitive guide to form-based website authentication
"<div class=""post-text"" itemprop=""text"">

<p>I've recently started maintaining someone else's JavaScript code. I'm fixing bugs, adding features and also trying to tidy up the code and make it more consistent.</p>

<p>The previous developer uses two ways of declaring functions and I can't work out if there is a reason behind it or not.</p>

<p>The two ways are:</p>

<pre><code>var functionOne = function() {
    // Some code
};
</code></pre>



<pre><code>function functionTwo() {
    // Some code
}
</code></pre>

<p>What are the reasons for using these two different methods and what are the pros and cons of each? Is there anything that can be done with one method that can't be done with the other?</p>
    </div>",3771,"javascript,function,syntax,idioms",http://stackoverflow.com/questions/336859/var-functionname-function-vs-function-functionname,var functionName = function() {} vs function functionName() {}
"<div class=""post-text"" itemprop=""text"">

<p>I'm using <a href=""http://en.wikipedia.org/wiki/JSLint"">JSLint</a> to go through JavaScript, and it's returning many suggestions to replace <code>==</code> (two equals signs) with <code>===</code> (three equals signs) when doing things like comparing <code>idSele_UNVEHtype.value.length == 0</code> inside of an <code>if</code> statement.</p>

<p>Is there a performance benefit to replacing <code>==</code> with <code>===</code>? </p>

<p>Any performance improvement would be welcomed as many comparison operators exist.</p>

<p>If no type conversion takes place, would there be a performance gain over <code>==</code>?</p>
    </div>",3549,"javascript,operators,equality,equality-operator,identity-operator",http://stackoverflow.com/questions/359494/does-it-matter-which-equals-operator-vs-i-use-in-javascript-comparisons,Does it matter which equals operator (== vs ===) I use in JavaScript comparisons?
"<div class=""post-text"" itemprop=""text"">

<p>This question attempts to collect the few pearls among the dozens of bad C++ books that are published every year.</p>

<p>Unlike many other programming languages, which are often picked up on the go from tutorials found on the Internet, few are able to quickly pick up C++ without studying a well-written C++ book. It is way too big and complex for doing this. In fact, it is so big and complex, that <strong><em>there are very many very bad C++ books</em></strong> out there. And we are not talking about bad style, but things like sporting <em>glaringly obvious factual errors</em> and <em>promoting abysmally bad programming styles</em>.</p>

<p>Please edit the accepted answer to provide <strong>quality books</strong> and an approximate skill level — <em>preferably</em> <strong>after</strong> <em>discussing your addition in <a href=""http://chat.stackoverflow.com/rooms/10/loungec"">the C++ chat room</a></em>. (The regulars might mercilessly undo your work if they disagree with a recommendation.) Add a short blurb/description about each book that you have personally read/benefited from. Feel free to debate quality, headings, etc. Books that meet the criteria will be added to the list.  Books that have reviews by the Association of C and C++ Users (ACCU) have links to the review. </p>

<p><sub><em>Note: FAQs and other resources can be found in the <a href=""http://stackoverflow.com/tags/c%2b%2b/info"">C++ tag info</a> and under <a href=""/questions/tagged/c%2b%2b-faq"" class=""post-tag"" title=""show questions tagged 'c++-faq'"" rel=""tag"">c++-faq</a>. There is also a similar post for C: <a href=""http://stackoverflow.com/questions/562303/the-definitive-c-book-guide-and-list"">The Definitive C Book Guide and List</a></em></sub></p>
    </div>",4265,"c++-faq,c++,c++-faq",http://stackoverflow.com/questions/388242/the-definitive-c-book-guide-and-list,The Definitive C++ Book Guide and List
"<div class=""post-text"" itemprop=""text"">

<p>If I run the following program, which parses two date strings referencing times one second apart and compares them:</p>

<pre><code>public static void main(String[] args) throws ParseException {
    SimpleDateFormat sf = new SimpleDateFormat(""yyyy-MM-dd HH:mm:ss"");  
    String str3 = ""1927-12-31 23:54:07"";  
    String str4 = ""1927-12-31 23:54:08"";  
    Date sDt3 = sf.parse(str3);  
    Date sDt4 = sf.parse(str4);  
    long ld3 = sDt3.getTime() /1000;  
    long ld4 = sDt4.getTime() /1000;
    System.out.println(ld4-ld3);
}
</code></pre>

<p>The output is:</p>

<pre><code>353
</code></pre>

<p>Why is <code>ld4-ld3</code> not <code>1</code> (as I would expect from the one-second difference in the times), but <code>353</code>?</p>

<p>If I change the dates to times one second later:</p>

<pre><code>String str3 = ""1927-12-31 23:54:08"";  
String str4 = ""1927-12-31 23:54:09"";  
</code></pre>

<p>Then <code>ld4-ld3</code> will be <code>1</code>.</p>

<hr>

<p>Java version:</p>

<pre class=""lang-none prettyprint-override""><code>java version ""1.6.0_22""
Java(TM) SE Runtime Environment (build 1.6.0_22-b04)
Dynamic Code Evolution Client VM (build 0.2-b02-internal, 19.0-b04-internal, mixed mode)
</code></pre>

<p>Timezone(<code>TimeZone.getDefault()</code>):</p>

<pre class=""lang-none prettyprint-override""><code>sun.util.calendar.ZoneInfo[id=""Asia/Shanghai"",
offset=28800000,dstSavings=0,
useDaylight=false,
transitions=19,
lastRule=null]

Locale(Locale.getDefault()): zh_CN
</code></pre>
    </div>",4105,"java,date,timezone",http://stackoverflow.com/questions/6841333/why-is-subtracting-these-two-times-in-1927-giving-a-strange-result,Why is subtracting these two times (in 1927) giving a strange result?
"<div class=""post-text"" itemprop=""text"">

<p>How can I check if one string contains another substring in JavaScript? 
Usually, I would expect a <code>String.contains()</code> method, but there doesn't seem to be one. What is a reasonable way to check for this?</p>
    </div>",4353,"javascript,string,string-matching",http://stackoverflow.com/questions/1789945/how-can-i-check-if-one-string-contains-another-substring,How can I check if one string contains another substring?
"<div class=""post-text"" itemprop=""text"">

<p>In jQuery, it is possible to toggle the visibility of an element, using the functions <code>.hide()</code>, <code>.show()</code> or <code>.toggle()</code>.</p>

<p>Using jQuery, how would you test if an element is visible or hidden?</p>
    </div>",4378,"javascript,jquery,dom,visibility",http://stackoverflow.com/questions/178325/checking-if-an-element-is-hidden,Checking if an element is hidden
"<div class=""post-text"" itemprop=""text"">

<p>What is the use of the <code>yield</code> keyword in Python? What does it do?</p>

<p>For example, I'm trying to understand this code<sup><strong>1</strong></sup>:</p>

<pre><code>def node._get_child_candidates(self, distance, min_dist, max_dist):
    if self._leftchild and distance - max_dist &lt; self._median:
        yield self._leftchild
    if self._rightchild and distance + max_dist &gt;= self._median:
        yield self._rightchild  
</code></pre>

<p>And this is the caller:</p>

<pre><code>result, candidates = list(), [self]
while candidates:
    node = candidates.pop()
    distance = node._get_dist(obj)
    if distance &lt;= max_dist and distance &gt;= min_dist:
        result.extend(node._values)
    candidates.extend(node._get_child_candidates(distance, min_dist, max_dist))
return result
</code></pre>

<p>What happens when the method <code>_get_child_candidates</code> is called?
A list is returned? A single element is returned? Is it called again? When will subsequent calls stop?</p>

<hr>

<p><sub>
1. The code comes from Jochen Schulz (jrschulz), who made a great Python library for metric spaces. This is the link to the complete source: <a href=""http://well-adjusted.de/~jrschulz/mspace/"">Module mspace</a>.</sub></p>
    </div>",4604,"python,iterator,generator,yield,coroutine",http://stackoverflow.com/questions/231767/what-does-the-yield-keyword-do-in-python,What does the yield keyword do in Python?
